ticker,name,exchange,sector
APR-UN.TO,AUTOMOTIVE PROPERTIES RL EST INVEST TRUST UN,TSX,Investment Trust
DAN.V,Arianne Phosphate Inc.,TSX.V,Mining
MPCT-UN.TO,Dream Impact Trust,TSX,Investment Trust
RCH.TO,RICHELIEU HARDWARE LTD.,TSX,Hardware Products
TVI.V,Tvi Pacific Inc.,TSX.V,Mining
SGR-UN.TO,Slate Grocery REIT,TSX,Investment Trust
WDO.TO,WESDOME GOLD MINES LTD.,TSX,Mineral Expl & Dev
BK.TO,CANADIAN BANC CORP. CL 'A',TSX,Mutual Funds
ATY.V,Atico Mining Corporation,TSX.V,Mining
SWLF.V,Silver Wolf Exploration Ltd.,TSX.V,Mining
CUP-U.TO,"CARIBBEAN UTILITIES COMPANY, LTD. U.S. CL 'A'",TSX,Public Utility
MBO.V,Mobio Technologies Inc.,TSX.V,Manufacturing
EPL.V,Eagle Plains Resources Ltd.,TSX.V,Mining
PLAN.V,Progressive Planet Solutions Inc.,TSX.V,Manufacturing
CGO.TO,COGECO INC. SV,TSX,Broadcasting
SOU.V,Southern Energy Corp.,TSX.V,Oil & Gas
LCS.TO,BROMPTON LIFECO SPLIT CORP. CLASS A,TSX,Investment Company
GORO.V,GOLDGROUP MINING INC.,TSX.V,Mining
CXI.TO,"CURRENCY EXCHANGE INTERNATIONAL, CORP. J",TSX,Currency Exch/Serv
SVM.TO,SILVERCORP METALS INC. J,TSX,Mineral Expl & Dev
MCB.TO,MCCOY GLOBAL INC.,TSX,Truck Equipment
MRG-UN.TO,MORGUARD NORTH AMERICAN RESIDENTIAL REIT UN,TSX,Investment Trust
QRC.TO,Queens Road Capital Investment Ltd.,TSX,Investment Company
CRE.V,Critical Elements Lithium Corporation,TSX.V,Mining
CGM.V,Canadian Goldfields Discovery Corp.,TSX.V,Mining
BGI-UN.TO,BROOKFIELD GLBL INFRASTRUCTR SEC INCM FND UN,TSX,Investment Fund
PGI-UN.TO,PIMCO GLOBAL INCOME OPPORTUNITIES FND CL A UN,TSX,Investment Fund
EAM.V,East Africa Metals Inc.,TSX.V,Mining
CEC.V,CanAsia Energy Corp.,TSX.V,Oil & Gas
GCOM.V,Green Shift Commodities Ltd.,TSX.V,Mining
PZA.TO,PIZZA PIZZA ROYALTY CORP.,TSX,Restaurants
VPT.V,VentriPoint Diagnostics Ltd.,TSX.V,Medical & Health Care
DS.TO,DIVIDEND SELECT 15 CORP. EQUITY,TSX,Investment Company
ILC.V,ILC Critical Minerals Ltd.,TSX.V,Mining
ANK.V,Angkor Resources Corp.,TSX.V,Mining
LNF.TO,LEON'S FURNITURE LTD.,TSX,Retail Furniture
FP.V,FP Newspapers Inc.,TSX.V,Manufacturing
BST.V,Bessor Minerals Inc.,TSX.V,Mining
CSCI.TO,COSCIENS Biopharma Inc.,TSX,Biopharmaceutical
CRWN.V,CROWN CAPITAL PARTNERS INC. J,TSX.V,Technology
LIO.V,Lion One Metals Limited,TSX.V,Mining
KEI.TO,Kolibri Global Energy Inc.,TSX,Oil/Gas Expl & Dev
WEC.V,Winchester Equity Corporation,TSX.V,Financial Services
CUU.V,Copper Fox Metals Inc.,TSX.V,Mining
MOX.V,Morien Resources Corp.,TSX.V,Mining
GBU.V,GABRIEL RESOURCES LTD. J,TSX.V,Oil & Gas
DEF.V,Defiance Silver Corp.,TSX.V,Mining
GASX.TO,NG Energy International Corp.,TSX,Oil/Gas Expl & Dev
PE.V,Pure Energy Minerals Limited,TSX.V,Mining
DTWO.V,D2 Lithium Corp.,TSX.V,Mining
GVC.TO,GLACIER MEDIA INC. J,TSX,Publishers
JJ.V,Jackpot Digital Inc.,TSX.V,Technology
SPX.V,Stellar AfricaGold Inc.,TSX.V,Mining
SEI.V,Sintana Energy Inc.,TSX.V,Mining
TSG.V,TriStar Gold Inc.,TSX.V,Mining
EU.V,Encore Energy Corp.,TSX.V,Mining
OCEN.V,Transoceanic Investments Inc.,TSX.V,Financial Services
SPD.V,Silver Predator Corp.,TSX.V,Mining
PRN.TO,ProFound Medical Corp.,TSX,Medical Rsch & Tech
CKG.V,Chesapeake Gold Corp.,TSX.V,Mining
FMS.V,Focus Graphite Inc.,TSX.V,Mining
BVA.V,Bravada Gold Corporation,TSX.V,Mining
PRU.TO,PERSEUS MINING LIMITED ORDINARY J,TSX,Gold Expl & Dev
PTM.TO,PLATINUM GROUP METALS LTD. J,TSX,Mineral Expl & Dev
WEB.V,Westbridge Renewable Energy Corp.,TSX.V,Business Services
FAP.TO,abrdn Asia-Pacific Income Fund VCC,TSX,Investment Company
FCD-UN.TO,Firm Capital Property Trust,TSX,Investment Trust
DGS.TO,DIVIDEND GROWTH SPLIT CORP. CL 'A',TSX,Investment Company
OYL.V,CGX Energy Inc.,TSX.V,Oil & Gas
VQS.V,VIQ Solutions Inc.,TSX.V,Technology
DE.V,Decisive Dividend Corporation,TSX.V,Manufacturing
NPK.TO,Verde Agritech Ltd.,TSX,Potash Mine & Prod
DBM.TO,Doman Building Materials Group Ltd.,TSX,Building Products
CTA.V,Centaurus Energy Inc.,TSX.V,Oil & Gas
ACX.TO,ACT Energy Technologies Ltd.,TSX,Drilling Services
ECO.TO,ECOSYNTHETIX INC. J,TSX,Chemical Mfg
FC.TO,FIRM CAPITAL MORTGAGE INVESTMENT CORPORATION,TSX,Mortgage & Loan
CRRX.TO,CareRx Corporation,TSX,Medical Services
VGD.V,Visible Gold Mines Inc.,TSX.V,Mining
KLS.TO,KELSO TECHNOLOGIES INC.,TSX,Trans Supplies/Serv
MGA.TO,MEGA URANIUM LTD. J,TSX,Uranium Expl & Dev
QSP-UN.TO,RESTAURANT BRANDS INTERNATIONAL LP EXCHNG UN,TSX,Limited Partnership
VCG.V,Visionary Copper and Gold Mines Inc.,TSX.V,Mining
FF.TO,First Mining Gold Corp.,TSX,Mining Finance
